username,rating,max_rating,rank,total_solved,hard_solved,top_tags,top_languages,contests
harsh_sah,1636,1636,expert,132,8,"greedy,math,constructive algorithms,implementation,sortings","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++14 (GCC 6-32)",42
prolibek,1416,1581,specialist,548,67,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),PyPy 3-64",77
eEternalF,1726,1726,expert,233,169,"math,data structures,greedy,dp,constructive algorithms","C++14 (GCC 6-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",6
wjh2011,2142,2142,master,722,507,"greedy,math,dp,constructive algorithms,data structures","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++14 (GCC 6-32)",14
myoi0905,2266,2403,master,640,249,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",80
pro2007,1373,1449,pupil,20,1,"greedy,constructive algorithms,math,implementation,brute force",C++17 (GCC 7-32),8
reedef,2488,2617,grandmaster,630,116,"math,greedy,dp,combinatorics,constructive algorithms","C++17 (GCC 9-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",55
Ami_Nul,1693,1941,expert,728,330,"greedy,math,constructive algorithms,brute force,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",110
K2SO4,1820,1820,expert,506,268,"greedy,math,constructive algorithms,dp,data structures","C++14 (GCC 6-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",15
rush_shit,1763,1763,expert,42,16,"greedy,constructive algorithms,math,implementation,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",13
asterisk11,1849,1849,expert,796,310,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",106
Kavyanshkrishan01,1889,1889,expert,34,1,"math,dp,greedy,constructive algorithms,combinatorics",C++17 (GCC 7-32),6
trappedintesseract,1831,2039,expert,272,87,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 11-64),C++17 (GCC 7-32),C++14 (GCC 6-32)",55
jhanvi857,1500,1500,specialist,245,11,"implementation,math,greedy,brute force,sortings","Java 21,PyPy 3-64",24
JedbyKey999,1742,1763,expert,554,60,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),PyPy 3-64",47
Manjeet_29,1622,1622,expert,338,5,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",25
suryanshrathore19,1424,1424,specialist,138,22,"math,greedy,implementation,dp,sortings","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",19
Sown12,1617,1617,expert,388,5,"implementation,math,greedy,brute force,constructive algorithms","C++17 (GCC 7-32),Python 3,MS C++ 2017",41
Anax_,1566,1566,specialist,33,3,"greedy,dp,math,brute force,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",4
isaf27,2756,3160,international grandmaster,546,277,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 11-64),C++17 (GCC 9-64),C++17 (GCC 7-32)",121
ItsNotMeItsYou,2164,2466,master,731,458,"greedy,math,dp,data structures,constructive algorithms","C++20 (GCC 13-64),Kotlin 1.7",136
a_little_cute,2309,2309,international master,558,468,"dp,math,greedy,combinatorics,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",68
yeondujipsa,1575,1575,specialist,96,3,"math,greedy,constructive algorithms,brute force,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),PyPy 3-64",29
paashupatastra,1487,1491,specialist,410,40,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64)",94
Serendipity__,2204,2418,master,741,222,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),PyPy 3-64",146
Temos_,1646,1646,expert,670,90,"greedy,math,constructive algorithms,implementation,sortings","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",46
shipul_roy,1461,1461,specialist,321,8,"implementation,math,greedy,brute force,sortings","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Python 3",43
Ab_Samrah,1640,1686,expert,602,91,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",107
ilovemymind,2219,2219,master,550,223,"greedy,math,dp,implementation,brute force","C++14 (GCC 6-32),C++17 (GCC 7-32),C++20 (GCC 13-64)",49
Anurag_Chauhan,1445,1445,specialist,107,1,"math,greedy,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",36
.AAA_lastfield,1493,1493,specialist,180,61,"implementation,greedy,math,dp,data structures","C++20 (GCC 13-64),PyPy 3-64,Python 3",11
Phoenix_12,1470,1510,specialist,780,126,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",64
IgorA,2037,2050,candidate master,538,168,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 11-64),C++20 (GCC 13-64)",61
VivaciousAubergine,3533,3533,legendary grandmaster,516,370,"greedy,math,dp,constructive algorithms,implementation","C++14 (GCC 6-32),GNU C++,C++20 (GCC 11-64)",64
OleschY,1910,2250,candidate master,694,336,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 9-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",80
leinad2,2893,2908,international grandmaster,767,342,"greedy,math,constructive algorithms,dp,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",70
Oala,1300,1325,pupil,264,71,"greedy,math,binary search,implementation,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",22
CepryH9,1992,2277,candidate master,525,272,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",209
san9blin,1686,1891,expert,642,195,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",121
-is-this-dp,1586,1647,specialist,257,52,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64)",51
Sir-Ahmed-Imran,1913,2111,candidate master,839,366,"greedy,math,dp,implementation,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",199
vlalit834,1612,1612,expert,537,73,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",30
aoprpl,1621,1628,expert,297,44,"greedy,math,implementation,constructive algorithms,dp",C++17 (GCC 7-32),35
I_want_AK_IOI,2196,2196,master,68,28,"greedy,math,constructive algorithms,dp,sortings","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Python 3",11
atodo,2297,2543,master,609,352,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",179
Mentholzzz,1896,1896,expert,307,79,"math,greedy,constructive algorithms,implementation,dp","C++17 (GCC 9-64),PyPy 3-64,C++20 (GCC 13-64)",9
LaRagde,1661,1924,expert,511,191,"greedy,math,constructive algorithms,dp,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",66
GordonLee,1560,1930,specialist,215,58,"greedy,implementation,math,constructive algorithms,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),GNU C++",34
Saif_Ahmed008,1421,1427,specialist,806,118,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",154
SW_Wind,1847,1978,expert,224,103,"greedy,math,implementation,dp,constructive algorithms","GNU C++11,C++17 (GCC 7-32),JavaScript",22
mzmz001,2422,2449,grandmaster,558,380,"greedy,math,dp,constructive algorithms,data structures","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",52
zeemanz,2526,2526,grandmaster,658,317,"greedy,math,dp,data structures,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",91
Ash88king,1178,1309,newbie,55,15,"greedy,math,implementation,dp,constructive algorithms",C++20 (GCC 13-64),13
mainkkk,1991,1991,candidate master,92,11,"greedy,implementation,math,constructive algorithms,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32)",11
Maxwell,1471,1708,specialist,473,173,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 7-32),C++20 (GCC 13-64)",31
LittleGopher,2005,2044,candidate master,1014,471,"greedy,math,implementation,brute force,dp","C++23 (GCC 14-64, msys2),Go,PyPy 3-64",44
leo2810,1871,1984,expert,464,49,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),PyPy 3-64",32
1nn0C3nt,1736,1796,expert,311,26,"math,greedy,implementation,constructive algorithms,brute force","PyPy 3-64,C++23 (GCC 14-64, msys2),Python 3",22
SomaniShrey,381,381,newbie,6,2,"strings,games,math,constructive algorithms,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",1
m3e92,1782,1820,expert,314,98,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",30
vinh1e2kg,1902,1964,candidate master,227,46,"greedy,math,implementation,dp,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",26
ninh69,2055,2055,candidate master,40,16,"greedy,math,implementation,dp,binary search",C++17 (GCC 7-32),6
eRali,1620,1632,expert,494,179,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),Kotlin 1.7",53
Kerw1l,2102,2102,master,184,74,"greedy,math,constructive algorithms,dp,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",24
4zur3,987,1063,newbie,119,3,"greedy,math,implementation,dp,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",11
limingyuan1232,1558,1588,specialist,126,59,"greedy,math,data structures,dp,sortings","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",9
Kendieer,1917,1990,candidate master,859,229,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++14 (GCC 6-32)",66
sk.dubey,1706,1796,expert,806,52,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",307
woohyun_jng,2405,2487,grandmaster,313,133,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),PyPy 3-64,C++20 (GCC 13-64)",50
Sersp3,1451,1451,specialist,157,20,"math,greedy,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 11-64),C++17 (GCC 7-32)",16
RedstoneGamer22,742,742,newbie,487,250,"greedy,math,dp,implementation,constructive algorithms","C++20 (GCC 11-64),C++17 (GCC 7-32),C++14 (GCC 6-32)",1
A-SOUL_Bella,2932,3008,international grandmaster,538,175,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 11-64),C++17 (GCC 7-32),C++17 (GCC 9-64)",36
youfayy,1405,1405,specialist,43,2,"greedy,math,implementation,binary search,dp","C++17 (GCC 7-32),Kotlin 1.7",4
systy,1974,2251,candidate master,572,178,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",66
traced,1763,1763,expert,125,19,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),PyPy 3-64",30
mhna.,1343,1365,pupil,462,8,"implementation,math,greedy,brute force,constructive algorithms","C++20 (GCC 11-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",14
yAshPtk,1586,1586,specialist,35,0,"greedy,math,constructive algorithms,brute force,sortings",C++20 (GCC 13-64),14
upsainian3747,1620,1675,expert,677,187,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Python 3",156
morandyg,2074,2105,candidate master,347,209,"greedy,math,dp,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",26
Ermiooo159,1804,1851,expert,492,295,"greedy,dp,math,dfs and similar,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",68
sujalxpro,1725,1854,expert,626,313,"greedy,math,brute force,implementation,constructive algorithms","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),PyPy 3-64",62
Mohammad_Aladaili,1318,1318,pupil,173,8,"implementation,math,greedy,brute force,strings","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",9
AH_lusho,1618,1618,expert,150,1,"greedy,math,implementation,constructive algorithms,sortings","C++17 (GCC 7-32),C++14 (GCC 6-32)",45
blitztage,2060,2298,candidate master,707,406,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",194
zeattun,1820,1820,expert,129,32,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++14 (GCC 6-32),C++17 (GCC 7-32)",27
antonis.white,2379,2519,international master,746,356,"greedy,math,data structures,implementation,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++17 (GCC 9-64)",143
qichengluo,1738,1802,expert,86,20,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2)",19
salinecrop,1815,1815,expert,156,13,"implementation,greedy,math,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),PyPy 3-64,Python 3",15
harshit_3024,1549,1610,specialist,371,18,"math,greedy,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),Python 3,C++17 (GCC 7-32)",24
OneLastDance,2130,2220,master,749,293,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",85
himshu,1684,1684,expert,412,165,"greedy,math,implementation,dp,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",34
canthitmyprotein,1701,1824,expert,221,72,"greedy,math,constructive algorithms,dp,implementation",C++17 (GCC 7-32),20
1t2o3n4y,2035,2035,candidate master,85,11,"greedy,math,implementation,sortings,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",15
1br4h1m,1584,1584,specialist,37,1,"math,greedy,sortings,implementation,constructive algorithms",C++17 (GCC 7-32),7
TurboChemtank,2113,2113,master,656,345,"greedy,math,dp,constructive algorithms,implementation","C++17 (GCC 7-32),C++20 (GCC 13-64),C++20 (GCC 11-64)",127
VladaMG98,2113,2460,master,715,181,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",186
Subhankar744,1606,1659,expert,593,150,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),Java 21,C++20 (GCC 13-64)",78
hitman_py,2220,2271,master,254,132,"greedy,math,dp,implementation,constructive algorithms","PyPy 3-64,Python 3,C++17 (GCC 7-32)",14
SleeplessSouris,2431,2485,grandmaster,299,148,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 13-64),C++17 (GCC 9-64),C++20 (GCC 11-64)",38
srikarbh,1633,1633,expert,64,17,"greedy,math,dp,implementation,sortings","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),PyPy 3-64",14
_mi_ka_,1640,1640,expert,248,28,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",23
sandeep5445,1802,1802,expert,350,118,"greedy,math,implementation,brute force,dp","C++17 (GCC 7-32),C++20 (GCC 11-64),C++17 (GCC 9-64)",97
x_707471,2245,2245,master,140,61,"greedy,math,constructive algorithms,dp,implementation",C++17 (GCC 7-32),26
cyu17,1821,1821,expert,612,457,"greedy,math,dp,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",23
Vividus,2224,2224,master,89,30,"greedy,constructive algorithms,math,implementation,brute force","C++23 (GCC 14-64, msys2)",20
The_Mad_Max,2295,2295,master,1067,597,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Mysterious Language",89
M1kha1l,1959,2041,candidate master,143,47,"math,greedy,implementation,data structures,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++20 (GCC 11-64)",19
friedel,1868,2095,expert,733,287,"greedy,math,constructive algorithms,brute force,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",136
Shiv1374,1866,1942,expert,305,53,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2)",24
boltbhavesh,1433,1435,specialist,254,4,"implementation,greedy,math,brute force,strings","C++23 (GCC 14-64, msys2)",21
MEDAAA,2134,2134,master,657,330,"greedy,math,dp,data structures,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",62
thelzz,1754,1754,expert,777,511,"greedy,math,dp,data structures,binary search","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",29
veiled_Sage,1767,1767,expert,152,21,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",19
SaiharshaASAP,1698,1698,expert,402,115,"math,greedy,implementation,brute force,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",17
Yaimsea,2261,2339,master,1004,349,"greedy,math,brute force,implementation,constructive algorithms","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",84
pvtdVN,999,1114,newbie,35,0,"greedy,math,implementation,number theory,brute force","C++14 (GCC 6-32),Python 3",16
danilocb21,1299,1303,pupil,697,32,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",50
SinghArsh04,1554,1703,specialist,141,23,"greedy,math,constructive algorithms,implementation,dp",C++20 (GCC 13-64),31
lwyyyds,2153,2153,master,33,3,"greedy,math,dp,constructive algorithms,implementation","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",5
Donaldqian0712,2149,2353,master,618,381,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++14 (GCC 6-32),C++23 (GCC 14-64, msys2)",37
ArsenGotov,2241,2315,master,535,211,"greedy,math,constructive algorithms,dp,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",188
AdiRish,1809,1809,expert,210,108,"math,dp,greedy,data structures,constructive algorithms","PyPy 3-64,C++23 (GCC 14-64, msys2),PyPy 3",8
GENERATIONAL_TALENT,1610,1610,expert,576,136,"greedy,math,implementation,constructive algorithms,dp","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",43
firewater,2127,2253,master,147,38,"greedy,math,dp,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",11
fzjsx,1563,1623,specialist,340,40,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",18
sheila01,,,,0,0,,,0
lordamara,1888,1888,expert,478,81,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",54
zltzlt,2803,2803,international grandmaster,841,554,"greedy,math,dp,constructive algorithms,data structures",C++20 (GCC 13-64),84
allvik66,2888,2980,international grandmaster,818,409,"greedy,math,dp,implementation,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",90
SRIMAN_123,1380,1380,pupil,72,0,"greedy,math,implementation,constructive algorithms,brute force",C++17 (GCC 7-32),33
younesg,1966,2022,candidate master,369,28,"implementation,math,greedy,brute force,strings","PyPy 3-64,C++20 (GCC 13-64),Python 3",38
Satyasarthi,1428,1510,specialist,311,137,"greedy,math,dp,implementation,constructive algorithms","Java 21,C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",12
yjx120921,2335,2335,international master,533,354,"greedy,math,dp,data structures,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",34
Mukul9571,1490,1561,specialist,737,62,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 11-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",121
umbrella-leaf,3060,3074,legendary grandmaster,775,614,"greedy,math,dp,data structures,constructive algorithms","C++20 (GCC 13-64),C++20 (GCC 11-64),C++14 (GCC 6-32)",48
OrangeEye,2856,2969,international grandmaster,566,445,"dp,greedy,data structures,math,trees","C++17 (GCC 7-32),C++17 (GCC 9-64),C++14 (GCC 6-32)",85
Tang2,2188,2188,master,829,243,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",43
JuanSign,1720,1720,expert,248,15,"greedy,math,implementation,constructive algorithms,sortings","C++17 (GCC 7-32),C++20 (GCC 13-64)",60
wery0,2140,2434,master,799,378,"greedy,math,implementation,brute force,data structures","C++20 (GCC 11-64),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",204
_akasi,2065,2225,candidate master,283,119,"greedy,math,constructive algorithms,dp,implementation","C++20 (GCC 11-64),C++17 (GCC 9-64),C++23 (GCC 14-64, msys2)",35
RaresPoinaru,2046,2223,candidate master,716,393,"greedy,math,dp,implementation,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",64
1G1U4E5S1T4,2470,2470,grandmaster,806,446,"greedy,math,dp,constructive algorithms,implementation","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),Python 3",31
shumomo,1857,1857,expert,86,61,"data structures,greedy,math,implementation,dp","C++20 (GCC 13-64),C++17 (GCC 9-64),C++17 (GCC 7-32)",6
